"form","section","qid","required","question","type","options","rows","note"
"事前","説明","-","","（フォーム冒頭の説明文）この回答はリアルタイムには確認されません。急ぎの相談や支援が必要なときは、このアンケートを使わず、医療機関や緊急サービスへ直接ご連絡ください。","説明","","",""
"事前","A 基本情報","A1","必須","参加者ID","記述","","","氏名は取得しない"
"事前","A 基本情報","A2","","年代","ラジオ","20代|30代|40代|50代|60代以上","",""
"事前","A 基本情報","A3","","現在の働き方","ラジオ","週5日|週4日|週3日以下|休職中|その他","",""
"事前","A 基本情報","A4","","参加のきっかけ（あてはまるものすべて）","チェックボックス","眠れない|朝つらい|疲れが取れない|気分の落ち込み|生活リズムが乱れている|仕事を続ける自信がない|セルフケアの習慣をつけたい|その他","",""
"事前","A 基本情報","A5","","このプログラムに期待することを教えてください","段落","","",""
"事前","B いまの状態","S1-S7","","この1週間のご自身に、どのくらい当てはまりますか","グリッド","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","S1 布団に入ってから、寝つきはよかった|S2 夜中に目が覚めずに眠れた|S3 朝起きたとき、疲れが取れている感じがした|S4 日中、体が重くだるい感じがあった|S5 気分が落ち込むことがあった|S6 仕事に向かう気力があった|S7 しんどくなったとき、自分で対処できそうだと思えた","S4・S5は「あった方が悪い」逆向きの設問。集計時に向きをそろえる"
"事前","睡眠（この1週間）","SL1","","布団に入ってから眠るまで、どのくらいかかりますか","ラジオ","15分以内|16〜30分|31〜60分|61分以上|わからない","","事前・事後で同一文言"
"事前","睡眠（この1週間）","SL2","","寝つきはよい方だと思いますか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","","事前・事後で同一文言"
"事前","睡眠（この1週間）","SL3","","平日の睡眠時間はおよそどのくらいですか","ラジオ","5時間未満|5〜6時間|6〜7時間|7〜8時間|8時間以上","","事前・事後で同一文言"
"事前","睡眠（この1週間）","SL4","","夜中に目が覚める回数はどのくらいですか","ラジオ","0回|1回|2回|3回以上","","事前・事後で同一文言"
"事前","睡眠（この1週間）","SL5","","朝起きたとき、疲れが取れている感じがしますか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","","事前・事後で同一文言"
"事前","睡眠（この1週間）","SL6","","寝る時刻はだいたい決まっていますか","ラジオ","ほぼ同じ|1時間以内のずれ|1〜2時間のずれ|2時間以上ばらつく","","事前・事後で同一文言"
"事前","生活リズム（この1週間）","LR1-LR4","","最近1週間のご自身に、どのくらい当てはまりますか","グリッド","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","LR1 平日の寝る時刻はだいたい一定です|LR2 起きる時刻はだいたい一定です|LR3 寝る前にやることの流れ（習慣）が決まっています|LR4 寝る前にスマートフォンを見る時間をコントロールできています","事前・事後で同一文言"
"事前","生活リズム（この1週間）","LR5","","休日と平日で、起きる時刻の差はどのくらいですか","ラジオ","1時間以内|1〜2時間|2〜3時間|3時間以上","","事前・事後で同一文言"
"事前","D 困りごと","D1","","いま一番困っていることを教えてください","段落","","",""
