"form","section","qid","required","question","type","options","rows","note"
"事後","説明","-","","（フォーム冒頭の説明文）この回答はリアルタイムには確認されません。急ぎの相談や支援が必要なときは、このアンケートを使わず、医療機関や緊急サービスへ直接ご連絡ください。","説明","","",""
"事後","0 はじめに","P0","必須","参加者ID","記述","","",""
"事後","1 体調・メンタルの変化","Q1","必須","参加する前と比べて、体調は全体としてどうなりましたか","ラジオ","とても良くなった|少し良くなった|変わらない|少し悪くなった|とても悪くなった","",""
"事後","1 体調・メンタルの変化","Q2","必須","参加する前と比べて、気持ちの面（メンタル）は全体としてどうなりましたか","ラジオ","とても良くなった|少し良くなった|変わらない|少し悪くなった|とても悪くなった","",""
"事後","1 体調・メンタルの変化","Q3","","変化を感じ始めたのはいつ頃ですか","ラジオ","1週目|2週目|3週目|4週目|特に感じなかった","",""
"事後","1 体調・メンタルの変化","Q4","","どんな場面で変化を感じましたか（あてはまるものすべて）","チェックボックス","朝起きるのが前より楽|日中の眠気が減った|仕事中に集中しやすい|帰宅後も動ける|休日に回復できる|イライラが減った|落ち込んでも立て直せる|不安が減った|人と話すのが前より億劫でない|特にない","",""
"事後","1 体調・メンタルの変化","Q5","","体調・気持ちの波（良い日と悪い日の差）は変わりましたか","ラジオ","小さくなった|変わらない|大きくなった|わからない","",""
"事後","2 その理由","Q6","","「良くなった」と答えた方へ。その理由（あてはまるものすべて）","チェックボックス","夜の過ごし方が決まって寝る前の流れができた|寝る前にスマホを見る時間が減った|体のこわばりがほぐれた・呼吸が落ち着いた|自分の状態に気づけるようになった|週に1回、人に話す機会があった|同じ立場の人がいると分かって安心した|次に試すセルフケアが決まった|記録をつけること自体が続いた|決まった予定があることで生活が整った|その他","","Q1またはQ2が「良くなった」の方のみ"
"事後","2 その理由","Q7","","「変わらない・悪くなった」と答えた方へ。その理由（あてはまるものすべて）","チェックボックス","参加の時間を取るのが負担だった|記録を書くのが負担だった|内容が自分に合わなかった|仕事や生活が忙しく実践できなかった|もともと大きく困っていなかった|1か月では短すぎた|体調が悪く参加できない日が多かった|その他","",""
"事後","2 その理由","Q8","必須","プログラム以外で、この1か月の体調・気持ちに影響したこと（あてはまるものすべて）","チェックボックス","仕事の状況が変わった（繁忙・異動・休職など）|通院や薬の内容が変わった|家庭・家族の事情|季節・天候|睡眠に関する別の取り組みを始めた|特になし|答えたくない","","効果を過大に見せないため必須にする"
"事後","2 その理由","Q9","","この1か月で、あなたの状態に一番影響したのはどれですか","ラジオ","プログラムの内容|アプリの記録|一緒に参加した人の存在|プログラム以外の出来事|わからない","",""
"事後","2 その理由","Q10","必須","Q1・Q2でそう感じた理由を、ご自身の言葉で書いてください","段落","","",""
"事後","睡眠（この1週間）","SL1","","布団に入ってから眠るまで、どのくらいかかりますか","ラジオ","15分以内|16〜30分|31〜60分|61分以上|わからない","","事前・事後で同一文言"
"事後","睡眠（この1週間）","SL2","","寝つきはよい方だと思いますか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","","事前・事後で同一文言"
"事後","睡眠（この1週間）","SL3","","平日の睡眠時間はおよそどのくらいですか","ラジオ","5時間未満|5〜6時間|6〜7時間|7〜8時間|8時間以上","","事前・事後で同一文言"
"事後","睡眠（この1週間）","SL4","","夜中に目が覚める回数はどのくらいですか","ラジオ","0回|1回|2回|3回以上","","事前・事後で同一文言"
"事後","睡眠（この1週間）","SL5","","朝起きたとき、疲れが取れている感じがしますか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","","事前・事後で同一文言"
"事後","睡眠（この1週間）","SL6","","寝る時刻はだいたい決まっていますか","ラジオ","ほぼ同じ|1時間以内のずれ|1〜2時間のずれ|2時間以上ばらつく","","事前・事後で同一文言"
"事後","3 睡眠の変化","SL7","","参加前と比べて、寝つき（布団に入ってから眠るまで）は変わりましたか","ラジオ","早くなった|変わらない|遅くなった","",""
"事後","3 睡眠の変化","SL8","","参加前と比べて、睡眠の長さは変わりましたか","ラジオ","増えた|変わらない|減った","",""
"事後","3 睡眠の変化","SL9","","参加前と比べて、夜中に目が覚める回数は変わりましたか","ラジオ","減った|変わらない|増えた","",""
"事後","3 睡眠の変化","SL10","","参加前と比べて、朝の回復感は変わりましたか","ラジオ","良くなった|変わらない|悪くなった","",""
"事後","3 睡眠の変化","SL11","必須","睡眠について、一番変わったのはどれですか（1つだけ）","ラジオ","寝つきの早さ|睡眠の長さ|途中で目が覚めないこと|朝の回復感|寝る時刻が安定したこと|特に変わっていない","","入眠・長さ・質のどれが動いたかを切り分ける中心設問"
"事後","3 睡眠の変化","SL12","","睡眠に役立ったと思うものはどれですか（あてはまるものすべて）","チェックボックス","火・木の夜の運動|日曜の疲労回復|呼吸法|セルフマッサージ・ストレッチ|就寝時間の確認|スマホを閉じる準備|アプリで睡眠を記録したこと|特にない","",""
"事後","3 睡眠の変化","SL13","","睡眠について気づいたこと・困っていることがあれば教えてください","段落","","",""
"事後","生活リズム（この1週間）","LR1-LR4","","最近1週間のご自身に、どのくらい当てはまりますか","グリッド","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","LR1 平日の寝る時刻はだいたい一定です|LR2 起きる時刻はだいたい一定です|LR3 寝る前にやることの流れ（習慣）が決まっています|LR4 寝る前にスマートフォンを見る時間をコントロールできています","事前・事後で同一文言"
"事後","生活リズム（この1週間）","LR5","","休日と平日で、起きる時刻の差はどのくらいですか","ラジオ","1時間以内|1〜2時間|2〜3時間|3時間以上","","事前・事後で同一文言"
"事後","4 生活リズムの変化","LR6","必須","この1か月で、生活リズムは作りやすくなりましたか","ラジオ","とても作りやすくなった|少し作りやすくなった|変わらない|少し作りにくくなった|とても作りにくくなった","",""
"事後","4 生活リズムの変化","LR7","","作りやすくなった理由（あてはまるものすべて）","チェックボックス","火・木・日に決まった予定があった|寝る前の流れが決まった|就寝時間を確認する習慣ができた|毎日記録をつけたことで自分のリズムが見えた|一緒に取り組む人がいた|その他","",""
"事後","4 生活リズムの変化","LR8","","作りにくかった理由（あてはまるものすべて）","チェックボックス","仕事の時間が不規則|残業・シフトの都合|家庭の事情|体調によってできない日があった|セッションの時間帯が生活に合わなかった|特に理由はない|その他","",""
"事後","4 生活リズムの変化","LR9","","リズムを保つのが難しかった場面があれば教えてください","段落","","",""
"事後","5 プログラム内容の評価","P1","必須","プログラム全体にどのくらい満足しましたか","ラジオ","1 とても不満|2 やや不満|3 どちらともいえない|4 やや満足|5 とても満足","",""
"事後","5 プログラム内容の評価","P2","必須","P1の点数にした理由を教えてください","段落","","",""
"事後","5 プログラム内容の評価","P3","","内容ごとの満足度を教えてください","グリッド","1 とても不満|2 やや不満|3 どちらともいえない|4 やや満足|5 とても満足|参加しなかった","①火・木の夜の運動|②日曜の疲労回復セッション|③日曜の振り返りプログラム",""
"事後","5 プログラム内容の評価","P4","","内容ごとの続けやすさを教えてください","グリッド","1 とても続けにくい|2 やや続けにくい|3 どちらともいえない|4 やや続けやすい|5 とても続けやすい","①火・木の夜の運動|②日曜の疲労回復セッション|③日曜の振り返りプログラム",""
"事後","5 プログラム内容の評価","P5","","1回の長さはどうでしたか","グリッド","長い|ちょうどよい|短い","①夜の運動（20分）|②疲労回復（20分）|③振り返り（25分）",""
"事後","5 プログラム内容の評価","P6","","週の回数（火・木・日）はどうでしたか","ラジオ","多い|ちょうどよい|少ない","",""
"事後","5 プログラム内容の評価","P7","","曜日・時間帯は参加しやすかったですか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","5 プログラム内容の評価","P7b","","参加しやすい曜日・時間帯の希望があれば教えてください","記述","","","任意"
"事後","5 プログラム内容の評価","P8","","振り返りの人数（原則3名）はどうでしたか","ラジオ","多い|ちょうどよい|少ない","",""
"事後","5 プログラム内容の評価","P9","","1人5分の持ち時間はどうでしたか","ラジオ","長い|ちょうどよい|短い","",""
"事後","5 プログラム内容の評価","P10","","「カメラOFF可・座ったまま可」は参加しやすさにつながりましたか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","5 プログラム内容の評価","P11","","話したくないことを話さずに済みましたか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","","安全面の確認項目"
"事後","5 プログラム内容の評価","P12","必須","一番役に立った内容はどれですか","ラジオ","火・木の夜の運動|日曜の疲労回復|日曜の振り返り|アプリの記録|特にない","",""
"事後","5 プログラム内容の評価","P12b","必須","P12を選んだ理由を教えてください","段落","","",""
"事後","5 プログラム内容の評価","P13","必須","一番負担だった内容はどれですか","ラジオ","火・木の夜の運動|日曜の疲労回復|日曜の振り返り|アプリの記録|特にない","",""
"事後","5 プログラム内容の評価","P13b","必須","P13を選んだ理由を教えてください","段落","","",""
"事後","5 プログラム内容の評価","P14","","やってみたい・追加してほしい内容があれば教えてください","段落","","",""
"事後","5 プログラム内容の評価","P15","必須","このあとも続けたいと思いますか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","5 プログラム内容の評価","P15b","必須","P15の理由を教えてください","段落","","",""
"事後","5 プログラム内容の評価","P16","","同じ立場の人に勧めたいと思いますか","目盛","0|10|まったく勧めない|とても勧めたい","",""
"事後","5 プログラム内容の評価","P16b","","P16の点数にした理由を教えてください","段落","","",""
"事後","5 プログラム内容の評価","P17","","（有料化を検討する場合のみ）月いくらまでなら続けられますか","ラジオ","500円まで|1,000円まで|2,000円まで|3,000円まで|5,000円以上でも続けたい|有料なら続けない","","検証目的に含める場合だけ使う"
"事後","6 アプリの評価","A1","","どのくらいの頻度で記録できましたか（おおよその実感）","ラジオ","ほぼ毎日|週4〜5日|週2〜3日|週1日以下|ほとんど書かなかった","","正確な日数は運営記録から取る"
"事後","6 アプリの評価","A2","","1回の入力にかかった時間","ラジオ","1分以内|1〜2分|2〜3分|3分以上","",""
"事後","6 アプリの評価","A3","","入力のしやすさ","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","","「入力しやすかった」への同意度"
"事後","6 アプリの評価","A4","","画面の分かりやすさ（どこを押せばよいか迷わなかった）","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","6 アプリの評価","A5","","アプリの項目ごとに、役に立ったかを教えてください","グリッド","役に立った|どちらともいえない|役に立たなかった|使わなかった","気分|睡眠|お薬|しんどさのサイン|できたこと|やらないこと|メモ|自分メンテ|ふりかえりのグラフ|週のまとめ|積み重ね（続けた日数）",""
"事後","6 アプリの評価","A6","","日曜の振り返りで、アプリの記録を見返しましたか","ラジオ","毎回見た|ときどき見た|見なかった","",""
"事後","6 アプリの評価","A7","","（見た方へ）記録があることで振り返りはしやすくなりましたか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","6 アプリの評価","A8","","記録できなかった日の理由（あてはまるものすべて）","チェックボックス","忘れた|書く気力がなかった|書くことがなかった|操作が分かりにくかった|内容を見られるのが不安だった|時間がなかった|記録できなかった日はない|その他","",""
"事後","6 アプリの評価","A9","","記録が自分の端末だけに保存され、運営者が見られないことは、安心して使うことにつながりましたか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","6 アプリの評価","A10","必須","使いにくかった点・不具合があれば教えてください","段落","","","なければ「なし」と記入"
"事後","6 アプリの評価","A11","","追加してほしい機能があれば教えてください","段落","","",""
"事後","6 アプリの評価","A12","","プログラムが終わっても、アプリだけは使い続けたいと思いますか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","6 アプリの評価","A12b","","A12の理由を教えてください","段落","","",""
"事後","7 運営への意見","O1","","申し込みから参加開始までの流れは分かりやすかったですか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","7 運営への意見","O2","","事前説明（時間・負担・医療ではないこと・データの扱い）は分かりやすかったですか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","7 運営への意見","O3","","事前の説明と実際に、ちがいはありましたか","ラジオ","なかった|少しあった|大きくあった","",""
"事後","7 運営への意見","O3b","","（ちがいがあった方へ）どのようなちがいでしたか","段落","","",""
"事後","7 運営への意見","O4","","日程の案内やお知らせの回数はどうでしたか","ラジオ","多い|ちょうどよい|少ない","",""
